"섹션","번호","확인 동작","기대 결과","결과 (O/X)","메모"
"1. 로그인 / 가입","1.1","/company 접속 → 'Google로 계속하기' 클릭","구글 계정 선택 창이 뜸","",""
"1. 로그인 / 가입","1.2","gmail 등 개인 구글 계정으로 로그인","로그인 화면에 '개인 메일은 사용할 수 없습니다' 안내가 뜨고 진입이 막힘","",""
"1. 로그인 / 가입","1.3","회사 도메인 구글 계정으로 처음 로그인","회사명·담당자명 입력 + 약관 동의 화면으로 이동","",""
"1. 로그인 / 가입","1.4","회사 정보 입력 + 이용약관·개인정보 동의 후 '기업 계정 연결하기'","대시보드로 들어감","",""
"1. 로그인 / 가입","1.5","브라우저 창 다 닫고 다시 /company 접속","다시 로그인 안 하고 바로 대시보드","",""
"2. 공고 등록","2.1","맨 위 '대표 이미지' 사진 업로드","오른쪽 미리보기 카드에 사진이 바로 뜸","",""
"2. 공고 등록","2.2","제목·연봉·기술스택 입력","미리보기 카드에 실시간 반영됨","",""
"2. 공고 등록","2.3","'공고 게재하기' 클릭","'공고가 접수되었습니다' 화면이 뜨고, 대시보드 목록에 '승인 중' 상태로 새 공고가 보임","",""
"3. 대시보드 / 공고 관리","3.1","대시보드 진입","공고 수·활성·누적 지원자 수가 보임","",""
"3. 대시보드 / 공고 관리","3.2","공고 카드 클릭","그 공고의 지원자 칸반으로 이동","",""
"3. 대시보드 / 공고 관리","3.3","공고 '수정' → 내용 바꾸고 저장","변경 내용이 반영됨","",""
"3. 대시보드 / 공고 관리","3.4","수정 화면에서 '일시중지' / '삭제'","상태가 바뀌고 / 목록에서 사라짐 (승인 대기·반려 공고는 토글 버튼이 안 보임)","",""
"4. 지원자 칸반 (ATS)","4.1","칸반 진입","지원자가 '신규 지원' 칸에 보임","",""
"4. 지원자 칸반 (ATS)","4.2","카드를 옆 칸으로 드래그","카드가 그 칸으로 옮겨짐","",""
"4. 지원자 칸반 (ATS)","4.3","검색창에 후보 이름·이메일 입력","해당 후보만 남고 필터됨","",""
"5. 단계 이동 시 메일","5.1","카드를 '검토/인터뷰' 칸으로 드래그","메일 작성창이 자동으로 뜸 (면접 제안 내용이 채워져 있음)","",""
"5. 단계 이동 시 메일","5.2","메일 작성창에서 '건너뛰기'","메일 안 나가고 단계만 바뀜","",""
"5. 단계 이동 시 메일","5.3","메일 작성창에서 '보내기'","후보 이메일로 메일이 발송됨 (RESEND_API_KEY 설정 시)","",""
"6. 후보 상세","6.1","칸반에서 후보 카드 클릭","후보 상세(이력서·지원 정보)가 열림","",""
"6. 후보 상세","6.2","평가 메모 입력 후 '메모 저장'","저장되고 다시 열어도 남아있음","",""
"6. 후보 상세","6.3","'면접 일정 잡기' → 날짜·시간 입력 후 저장","저장됨","",""
"7. 면접 일정","7.1","사이드바 '면접 일정' 클릭","6번에서 잡은 면접이 날짜별로 보임","",""
"8. 공통","8.1","모든 회사 화면 좌상단 로고","전부 같은 로고로 통일돼 있음","",""
"8. 공통","8.2","휴대폰으로 주요 화면 접속","레이아웃이 깨지지 않음 (사이드바가 상단 바로, 칸반·폼이 1열로 전환)","",""
"9. 공고 승인 흐름","9.1","공고 게재 후 어드민이 'Approve'","기업 가입 이메일로 '공고 승인' 메일이 발송됨","",""
"9. 공고 승인 흐름","9.2","어드민이 공고 '반려'","기업 가입 이메일로 반려 안내 메일 발송 + 대시보드에 '반려됨' 배지 표시","",""
"9. 공고 승인 흐름","9.3","반려된 공고를 수정 후 저장","'승인 중'으로 되돌아가 재검토 큐에 들어감 (승인 없이 바로 게재되지 않음)","",""
"10. 채용팀","10.1","공고 화면 '채용팀' → 팀원 초대 (회사 이메일)","초대 메일 발송 또는 즉시 합류 안내","",""
"10. 채용팀","10.2","채용팀 목록에서 멤버 'x' / 대기 초대 'x'","오너만 보이며, 멤버 제외 / 초대 취소가 됨","",""
